,sentence,head_noun,head_noun_match,that_word,that_word_match
585,It is a bird that lives around water that,bird,bird,that,that
586,It is a bird that lives in the desert that,bird,bird,that,that
587,It is a bird that is kept in the house that,bird,bird,that,that
588,It is algae that grow in water that,algae,algae,that,that
589,It is a jar is which water is stored that,jar,jar,that,that
590,It is a book about things that happen in winter that,book,book,that,that
591,It is a book about romance that,book,book,that,that
592,It is a book that is hard to understand that,book,book,that,that
593,It is a show that takes place in winter that,show,show,that,that
594,It is a carnival that is held in winter that,carnival,carnival,that,that
595,It is a stove which burns wood that,stove,stove,that,that
596,It is a stove that uses propane as fuel that,stove,stove,that,that
597,It is a stove on which bread is cooked that,stove,stove,that,that
598,It is something used to make wood seem fresh that,freshener,fresh,that,that
599,It is a chisel used for working on wood that,chisel,chisel,that,that
600,There are months when one goes on an adventure that,months,months,that,that
601,There are months one spends in retirement that,months,months,that,that
602,There are months one spends in jail that,months,months,that,that
603,There are bookings taken during the arrangement of an adventure that,bookings,bookings,that,that
604,It is a commercial about an adventure that,commercial,commercial,that,that
605,It is military power in the air that,power,power,that,that
606,It is power that comes from solar energy that,power,power,that,that
607,It is power produced by manual labor that,power,power,that,that
608,It is a current in air that,current,current,that,that
609,It is a blast of air that,blast,blast,that,that
610,It is a rash on a baby at birth that,rash,rash,that,that
611,It is a rash caused by an allergy that,rash,rash,that,that
612,It is a rash on an arm that,rash,rash,that,that
613,It is a cramp caused by giving birth that,cramp,cramp,that,that
614,It is an event at which someone or something gives birth that,event,event,that,that
615,It is a brake that works by means of a cable that,brake,brake,that,that
616,It isa brake that is powered by electricity that,brake,brake,that,that
617,It is a brake that is on a bicycle that,brake,brake,that,that
618,It is a pulley that functions by means of a cable that,pulley,pulley,that,that
619,It is a bobbin on which cable is wound that,bobbin,bobbin,that,that
620,It is a bee that lives in a cactus that,bee,bee,that,that
621,It is a bee that comes to a picnic that,bee,bee,that,that
622,It is a bee that likes to eat syrup that,bee,bee,that,that
623,It is a chipmunk that feeds on a cactus that,chipmunk,chipmunk,that,that
624,It is the root of a cactus that,root,root,that,that
625,It is sugar that comes from cane that,sugar,sugar,that,that
626,It is the sugar that is in a peach that,sugar,sugar,that,that
627,It is sugar one uses at breakfast that,sugar,sugar,that,that
628,It is the juice of canes that,juice,juice,that,that
629,It is a plantation of cane plants that,plantation,plantation,that,that
630,There are shavings which are made of chocolate that,shavings,shavings,that,that
631,There are shavings consisting of grass that,shavings,shavings,that,that
632,There are shavings that have been dried that,shavings,shavings,that,that
633,It is power one gets from consuming chocolate that,power,power,that,that
634,It is a recipe for making chocolate that,recipe,recipe,that,that
635,It is a town in which the primary industry is coal mining that,town,town,that,that
636,It is a town in which a festival takes place that,town,town,that,that
637,It is a town located in a valley that,town,town,that,that
638,It is a country that produces coal that,country,country,that,that
639,It is a machine used in the mining of coal that,machine,machine,that,that
640,It is tension caused by consuming coffee that,tension,tension,that,that
641,It is tension caused by the thought of an examination that,tension,tension,that,that
642,It is tension in a muscle that,tension,tension,that,that
643,It is a stain caused by the spilling of coffee that,stain,stain,that,that
644,It is a container in which coffee is stored that,container,container,that,that
645,There are lakes found on college property that,lakes,lakes,that,that
646,There are lakes frequented by farmers that,lakes,lakes,that,that
647,There are lakes containing minnow that,lakes,lakes,that,that
648,It is property owned by a college that,property,property,that,that
649,It is a publication that is produced in a college that,publication,publication,that,that
650,It is a sauce which contains a lot of cream that,sauce,sauce,that,that
651,It is a sauce made out of pumpkins that,sauce,sauce,that,that
652,It is a sauce used on potatoes that,sauce,sauce,that,that
653,It is bread that was made with cream that,bread,bread,that,that
654,It is a churn for producing cream that,churn,churn,that,that
655,It is a cow owned by a family that,cow,cow,that,that
656,It is a cow that lives at a school that,cow,cow,that,that
657,It is a cow that produces milk that,cow,cow,that,that
658,It is a garden owned by a family that,garden,garden,that,that
659,It is a church frequented by members of a family that,church,church,that,that
660,It is a headache caused by financial problems that,headache,headache,that,that
661,It is a headache caused by drinking alcohol that,headache,headache,that,that
662,It is a headache which is fatal that,headache,headache,that,that
663,'It is a problem with the state of one''s finances.' that,problem,problem,that,that
664,It is a remedy which improves ones finances that,remedy,remedy,that,that
665,It is a gland that a fish has that,gland,gland,that,that
666,It is a gland that is part of a reptile that,gland,gland,that,that
667,It is a gland that is underdeveloped that,gland,gland,that,that
668,It is the fin of a fish that,fin,fin,that,that
669,It is a stew which contains fish that,stew,stew,that,that
670,It is a wreath that is made of flowers that,wreath,wreath,that,that
671,It is a wreath made out of yarn that,wreath,wreath,that,that
672,It is a wreath one displays at Christmas that,wreath,wreath,that,that
673,It is perfume which has a floral scent that,perfume,perfume,that,that
674,It is fabric which has a floral pattern on it that,fabric,fabric,that,that
675,There are pills for curing flu that,pills,pills,that,that
676,There are pills for consumption by an infant that,pills,pills,that,that
677,There are pills that are medicinal that,pills,pills,that,that
678,It is therapy aimed at curing flu that,therapy,therapy,that,that
679,It is an outbreak of flu in the population that,outbreak,outbreak,that,that
680,It is food that is fruit that,food,food,that,that
681,It is food which is hot that,food,food,that,that
682,It is food that is found in a package that,food,food,that,that
683,It is a slice of fruit that,slice,slice,that,that
684,It is seed found inside fruit that,seed,seed,that,that
685,It is a lamp that uses gas as fuel that,lamp,lamp,that,that
686,It is a lamp that is powered by a battery that,lamp,lamp,that,that
687,It is a lamp found in a cabin that,lamp,lamp,that,that
688,It is a car that is powered by gas that,car,car,that,that
689,It is a hose that gas comes out of that,hose,hose,that,that
690,It is a law about grain that,law,law,that,that
691,It is a law governing the conduct of traffic that,law,law,that,that
692,It is a law made by and enforced in a state that,law,law,that,that
693,It is a controversy about the supply or trade of grain that,controversy,controversy,that,that
694,It is a dish for holding grain that,dish,dish,that,that
695,It is a hole in a gutter that,hole,hole,that,that
696,It is a hole in a prairie that,hole,hole,that,that
697,It is a hole that a rodent lives in that,hole,hole,that,that
698,It is a rodent that lives in the gutter that,rodent,rodent,that,that
699,It is drainage into a gutter that,drainage,drainage,that,that
700,It is an iron that uses heat to preform its function that,iron,iron,that,that
701,It is an iron used for making a pancake that,iron,iron,that,that
702,It is a type of iron that can be used or crafted like ceramics are that,iron,iron,that,that
703,It is a pad that gives off heat that,pad,pad,that,that
704,It is a device or machine for regulating the amount of heat that,regulator,regulating,that,that
705,There are people that are members for historical reasons that,members,members,that,that
706,There are members that are foreign that,members,members,that,that
707,There are members of a hospital that,members,members,that,that
708,It is an elder important enough to be the subject of history that,elder,elder,that,that
709,There are archives concerning historical events that,archives,archives,that,that
710,It is a light in a home that,light,light,that,that
711,It is a light used for reading that,light,light,that,that
712,It is a light that is made of glass that,light,light,that,that
713,It is paint used in the home that,paint,paint,that,that
714,It is a dispute at home that,dispute,dispute,that,that
715,It is soup containing honey that,soup,soup,that,that
716,It is soup that contains pieces of ham that,soup,soup,that,that
717,It is soup brought on holiday that,soup,soup,that,that
718,It is a muffin that contains honey that,muffin,muffin,that,that
719,It is an insect that produces honey that,insect,insect,that,that
720,There are scales for weighing a horse that,scales,scales,that,that
721,There are scales used in chemistry experiments that,scales,scales,that,that
722,There are scales made of metal that,scales,scales,that,that
723,There are stables in which horses are kept that,stables,stables,that,that
724,It is an auction where a horse is sold that,auction,auction,that,that
725,'It is language that one uses in one''s job.' that,language,language,that,that
726,It is the language spoken in California that,language,language,that,that
727,It is language which is verbal that,language,language,that,that
728,It is the completion of a job that,completion,completion,that,that
729,'It is anxiety caused by one''s job.' that,anxiety,anxiety,that,that
730,It is underwear that is worn by a juvenile that,underwear,underwear,that,that
731,It is underwear that is only worn in the evening that,underwear,underwear,that,that
732,It is underwear made of flannel that,underwear,underwear,that,that
733,It is a swing that is used by a juvenile that,swing,swing,that,that
734,It is behavior reminiscent of juvenile behavior that,behavior,behavior,that,that
735,It is a plant that produces lemons that,plant,plant,that,that
736,It is a plant that uses pollen to achieve fertilization that,plant,plant,that,that
737,It is a plant that is grown on a farm that,plant,plant,that,that
738,It is a tree on which lemons grow that,tree,tree,that,that
739,It is a biscuit that is lemon flavoured that,biscuit,biscuit,that,that
740,It is an antique which was once the property of a Marine that,antique,antique,that,that
741,It is an antique found in a library that,antique,antique,that,that
742,It is an antique which is an old sewing machine that,antique,antique,that,that
743,It is a gun used by Marines that,gun,gun,that,that
744,It is an attack carried out by Marines that,attack,attack,that,that
745,There are the instincts to get married that,instincts,instincts,that,that
746,There are instincts useful in an academic environment that,instincts,instincts,that,that
747,There are instincts which have evolved that,instincts,instincts,that,that
748,It is preparation for marriage that,preparation,preparation,that,that
749,It is happiness caused by marriage that,happiness,happiness,that,that
750,It is a virus transmitted in milk that,virus,virus,that,that
751,'It is a virus which causes a pain in one''s throat.' that,virus,virus,that,that
752,It is a virus which is dormant that,virus,virus,that,that
753,It is a bacterium found in milk that,bacterium,bacterium,that,that
754,It is pudding that contains milk that,pudding,pudding,that,that
755,There are signals which happen in the morning that,signals,signals,that,that
756,There are signals that indicate that someone or something is pregnant that,signals,signals,that,that
757,There are signals made by an animal that,signals,signals,that,that
758,It is medication that is to be taken in the morning that,medication,medication,that,that
759,It is meditation that one does in the morning that,meditation,meditation,that,that
760,It is the shape of a moth that,shape,shape,that,that
761,It is the shape of a mould that,shape,shape,that,that
762,It is a shape that is oval that,shape,shape,that,that
763,It is the wing of a moth that,wing,wing,that,that
764,It is insecticide for killing moths that,insecticide,insecticide,that,that
765,It is a breeze on a mountain that,breeze,breeze,that,that
766,It is a breeze in a kitchen that,breeze,breeze,that,that
767,It is a strong breeze during a storm that,breeze,breeze,that,that
768,It is a cabin located on a mountain that,cabin,cabin,that,that
769,It is a magazine about mountains that,magazine,magazine,that,that
770,It is a forest owned by the municipality that,forest,forest,that,that
771,It is a forest that is owned by royalty that,forest,forest,that,that
772,It is a forest in an alpine region that,forest,forest,that,that
773,It is a pool that is owned by the municipality that,pool,pool,that,that
774,It is a campaign by the municipality that,campaign,campaign,that,that
775,It is a film which portrays a murder taking place that,film,film,that,that
776,It is a film about poverty that,film,film,that,that
777,It is a film made in a foreign place that,film,film,that,that
778,It is an investigation into the details of a murder that,investigation,investigation,that,that
779,It is an attempt made to murder someone that,attempt,attempt,that,that
780,There are the resources of a nation that,resources,resources,that,that
781,There are resources available to a company that,resources,resources,that,that
782,There are resources that are gold that,resources,resources,that,that
783,It is the police of a nation that,police,police,that,that
784,It is a mistake made by a nation that,mistake,mistake,that,that
785,It is a sound that a nose makes that,sound,sound,that,that
786,It is the sound made by a drum that,sound,sound,that,that
787,It is a sound that is unidentified that,sound,sound,that,that
788,'It is an itch on one''s nose.' that,itch,itch,that,that
789,It is a movement of a nose that,movement,movement,that,that
790,It is a charge for using an office that,charge,charge,that,that
791,It is a charge for the services of a doctor that,charge,charge,that,that
792,'It is a charge that is an artist''s royalty.' that,charge,charge,that,that
793,It is a statement given in an office that,statement,statement,that,that
794,It is a notepad intended for use in an office that,notepad,notepad,that,that
795,It is a skin treatment that uses oil that,treatment,treatment,that,that
796,It is a treatment which consists of surgery.  that,treatment,treatment,that,that
797,It is treatment aimed at preventing or ending a disease that,treatment,treatment,that,that
798,It is moisturizer which contains oil that,moisturizer,moisturizer,that,that
799,It is an accident in which oil is leaked that,accident,accident,that,that
800,It is the season when olives are harvested that,season,season,that,that
801,It is a season in which something gestates that,season,season,that,that
802,It is a season in which the weather is very humid that,season,season,that,that
803,It is fertilizer that helps olives to grow that,fertilizer,fertilizer,that,that
804,It is paste made out of olives that,paste,paste,that,that
805,It is equipment used for organising and augmenting paper that,equipment,equipment,that,that
806,It is equipment used in the construction of something that,equipment,equipment,that,that
807,It is equipment that is made of steel that,equipment,equipment,that,that
808,There are staples used for binding papers together that,staples,staples,that,that
809,It is a sculpture made out of paper that,sculpture,sculpture,that,that
810,It is an event which is both a party and a dance that,dance,dance,that,that
811,It is a dance that takes place in a hall that,dance,dance,that,that
812,It is a dance which is attended by peasants that,dance,dance,that,that
813,It is a toast at a party that,toast,toast,that,that
814,It is an invitation to a party that,invitation,invitation,that,that
815,It is oil that comes from a pine tree that,oil,oil,that,that
816,It is oil that is put on a pig that,oil,oil,that,that
817,It is oil used to aid tanning that,oil,oil,that,that
818,It is the bark of a pine tree that,bark,bark,that,that
819,It is furniture that is made mostly of pine that,furniture,furniture,that,that
820,It is a report about the plastic industry that,report,report,that,that
821,It is a report about a war that,report,report,that,that
822,It is a report made by a company that,report,report,that,that
823,It is a shortage of plastic that,shortage,shortage,that,that
824,It is a shortage of plastic that,shortage,shortage,that,that
825,It is a comedy about servants that,comedy,comedy,that,that
826,It is a comedy about economic conditions that,comedy,comedy,that,that
827,It is a comedy performed by amateurs that,comedy,comedy,that,that
828,It is a scandal caused by the behavior of a servant that,scandal,scandal,that,that
829,It is a carriage in which a servant travels that,carriage,carriage,that,that
830,It is a magazine about songs that,magazine,magazine,that,that
831,It is a magazine about sewing that,magazine,magazine,that,that
832,It is a magazine that is in a locker that,magazine,magazine,that,that
833,It is a review about a song that,review,review,that,that
834,It is a recital where songs are performed that,recital,recital,that,that
835,It is a pain caused by participating in sports that,pain,pain,that,that
836,It is a pain caused by being pricked by a needle that,pain,pain,that,that
837,It is a pain in an ankle that,pain,pain,that,that
838,It is excite ment caused by a sports event that,excite ment,excite ment,that,that
839,It is a program for a sports event that,program,program,that,that
840,It is a lock which presents steam from escaping that,lock,lock,that,that
841,It is a lock that works by means of a coil mechanism that,lock,lock,that,that
842,It is a lock used in industry that,lock,lock,that,that
843,It is a turbine that uses steam for power that,turbine,turbine,that,that
844,It is a device that is a maker of steam that,maker,maker,that,that
845,It is a vote cast by a student that,vote,vote,that,that
846,It is a vote made by an employee that,vote,vote,that,that
847,It is a vote that if successful will reform something that,vote,vote,that,that
848,It is an accusation made by a student that,accusation,accusation,that,that
849,It is a car owned by a student that,car,car,that,that
850,It is alcohol that is made from sugar by yeast that,alcohol,alcohol,that,that
851,It is alcohol that is produced by fermenting barley that,alcohol,alcohol,that,that
852,It is alcohol used for cooking that,alcohol,alcohol,that,that
853,It is extract which is sugar that,extract,extract,that,that
854,It is a place where sugar is stored that,storage,stored,that,that
855,It is money that is gotten in summer that,money,money,that,that
856,It is money that is to be spent on the use of phones that,money,money,that,that
857,It is money one spends in a casino that,money,money,that,that
858,There are clothes worn during the summer that,clothes,clothes,that,that
859,It is employment during the summer that,employment,employment,that,that
860,It is pressure caused by a high level of tax that,pressure,pressure,that,that
861,It is pressure exerted by the weight of something that,pressure,pressure,that,that
862,It is pressure caused by society that,pressure,pressure,that,that
863,It is wealth achieved by a high rate of tax that,wealth,wealth,that,that
864,'It is a form for the arrangement of one''s tax payments.' that,form,form,that,that
865,It is a wheel that uses thermal energy that,wheel,wheel,that,that
866,It is a wheel powered by hydrogen energy that,wheel,wheel,that,that
867,It is a wheel that is on a tractor that,wheel,wheel,that,that
868,It is torture consisting of exposure to extreme heat that,torture,torture,that,that
869,'There are socks which help to keep one''s feet warm.' that,socks,socks,that,that
870,There are riots in an urban area that,riots,riots,that,that
871,It is a dance that is popular in Europe that,dance,dance,that,that
872,There are riots against the possibility of war that,riots,riots,that,that
873,It is a tower in an urban area that,tower,tower,that,that
874,It is a complaint about an urban service that,complaint,complaint,that,that
875,There are drops of vapor that,drops,drops,that,that
876,There are drops of water that rain consists of that,drops,drops,that,that
877,There are drops which have fallen that,drops,drops,that,that
878,It is a cloud made of vapor that,cloud,cloud,that,that
879,It is a device which makes vapor more humid that,humidifier,humid,that,that
880,It is the peel of a vegetable that,peel,peel,that,that
881,It is the peel of a watermelon that,peel,peel,that,that
882,It is a peel that is bitter that,peel,peel,that,that
883,It is steam emitted by cooked vegetable that,steam,steam,that,that
884,It is an appetizer consisting of a selection of vegetables that,appetizer,appetizer,that,that
885,It is a bird that lives near water that,bird,bird,that,that
886,It is a bird that lives in a desert that,bird,bird,that,that
887,It is a bird that is domestic that,bird,bird,that,that
888,It is algae that lives in water that,algae,algae,that,that
889,It is a jar containing or intended to contain water that,jar,jar,that,that
890,It is a book about winter that,book,book,that,that
891,It is a book about romance that,book,book,that,that
892,It is a book with a hard cover that,book,book,that,that
893,It is a show presented during the winter that,show,show,that,that
894,It is a carnival that takes place in winter that,carnival,carnival,that,that
895,It is a stove that uses wood as fuel that,stove,stove,that,that
896,It is a stove that uses propane that,stove,stove,that,that
897,It is a stove used for making bread that,stove,stove,that,that
898,It is a freshener for wood that,freshener,freshener,that,that
899,It is a chisel used when crafting things made of wood that,chisel,chisel,that,that
