,sentence,head_noun,head_noun_match,but_word,but_word_match
585,It is a bird that lives around water but,bird,bird,but,but
586,It is a bird that lives in the desert but,bird,bird,but,but
587,It is a bird that is kept in the house but,bird,bird,but,but
588,It is algae that grow in water but,algae,algae,but,but
589,It is a jar is which water is stored but,jar,jar,but,but
590,It is a book about things that happen in winter but,book,book,but,but
591,It is a book about romance but,book,book,but,but
592,It is a book that is hard to understand but,book,book,but,but
593,It is a show that takes place in winter but,show,show,but,but
594,It is a carnival that is held in winter but,carnival,carnival,but,but
595,It is a stove which burns wood but,stove,stove,but,but
596,It is a stove that uses propane as fuel but,stove,stove,but,but
597,It is a stove on which bread is cooked but,stove,stove,but,but
598,It is something used to make wood seem fresh but,freshener,fresh,but,but
599,It is a chisel used for working on wood but,chisel,chisel,but,but
600,There are months when one goes on an adventure but,months,months,but,but
601,There are months one spends in retirement but,months,months,but,but
602,There are months one spends in jail but,months,months,but,but
603,There are bookings taken during the arrangement of an adventure but,bookings,bookings,but,but
604,It is a commercial about an adventure but,commercial,commercial,but,but
605,It is military power in the air but,power,power,but,but
606,It is power that comes from solar energy but,power,power,but,but
607,It is power produced by manual labor but,power,power,but,but
608,It is a current in air but,current,current,but,but
609,It is a blast of air but,blast,blast,but,but
610,It is a rash on a baby at birth but,rash,rash,but,but
611,It is a rash caused by an allergy but,rash,rash,but,but
612,It is a rash on an arm but,rash,rash,but,but
613,It is a cramp caused by giving birth but,cramp,cramp,but,but
614,It is an event at which someone or something gives birth but,event,event,but,but
615,It is a brake that works by means of a cable but,brake,brake,but,but
616,It isa brake that is powered by electricity but,brake,brake,but,but
617,It is a brake that is on a bicycle but,brake,brake,but,but
618,It is a pulley that functions by means of a cable but,pulley,pulley,but,but
619,It is a bobbin on which cable is wound but,bobbin,bobbin,but,but
620,It is a bee that lives in a cactus but,bee,bee,but,but
621,It is a bee that comes to a picnic but,bee,bee,but,but
622,It is a bee that likes to eat syrup but,bee,bee,but,but
623,It is a chipmunk that feeds on a cactus but,chipmunk,chipmunk,but,but
624,It is the root of a cactus but,root,root,but,but
625,It is sugar that comes from cane but,sugar,sugar,but,but
626,It is the sugar that is in a peach but,sugar,sugar,but,but
627,It is sugar one uses at breakfast but,sugar,sugar,but,but
628,It is the juice of canes but,juice,juice,but,but
629,It is a plantation of cane plants but,plantation,plantation,but,but
630,There are shavings which are made of chocolate but,shavings,shavings,but,but
631,There are shavings consisting of grass but,shavings,shavings,but,but
632,There are shavings that have been dried but,shavings,shavings,but,but
633,It is power one gets from consuming chocolate but,power,power,but,but
634,It is a recipe for making chocolate but,recipe,recipe,but,but
635,It is a town in which the primary industry is coal mining but,town,town,but,but
636,It is a town in which a festival takes place but,town,town,but,but
637,It is a town located in a valley but,town,town,but,but
638,It is a country that produces coal but,country,country,but,but
639,It is a machine used in the mining of coal but,machine,machine,but,but
640,It is tension caused by consuming coffee but,tension,tension,but,but
641,It is tension caused by the thought of an examination but,tension,tension,but,but
642,It is tension in a muscle but,tension,tension,but,but
643,It is a stain caused by the spilling of coffee but,stain,stain,but,but
644,It is a container in which coffee is stored but,container,container,but,but
645,There are lakes found on college property but,lakes,lakes,but,but
646,There are lakes frequented by farmers but,lakes,lakes,but,but
647,There are lakes containing minnow but,lakes,lakes,but,but
648,It is property owned by a college but,property,property,but,but
649,It is a publication that is produced in a college but,publication,publication,but,but
650,It is a sauce which contains a lot of cream but,sauce,sauce,but,but
651,It is a sauce made out of pumpkins but,sauce,sauce,but,but
652,It is a sauce used on potatoes but,sauce,sauce,but,but
653,It is bread that was made with cream but,bread,bread,but,but
654,It is a churn for producing cream but,churn,churn,but,but
655,It is a cow owned by a family but,cow,cow,but,but
656,It is a cow that lives at a school but,cow,cow,but,but
657,It is a cow that produces milk but,cow,cow,but,but
658,It is a garden owned by a family but,garden,garden,but,but
659,It is a church frequented by members of a family but,church,church,but,but
660,It is a headache caused by financial problems but,headache,headache,but,but
661,It is a headache caused by drinking alcohol but,headache,headache,but,but
662,It is a headache which is fatal but,headache,headache,but,but
663,'It is a problem with the state of one''s finances.' but,problem,problem,but,but
664,It is a remedy which improves ones finances but,remedy,remedy,but,but
665,It is a gland that a fish has but,gland,gland,but,but
666,It is a gland that is part of a reptile but,gland,gland,but,but
667,It is a gland that is underdeveloped but,gland,gland,but,but
668,It is the fin of a fish but,fin,fin,but,but
669,It is a stew which contains fish but,stew,stew,but,but
670,It is a wreath that is made of flowers but,wreath,wreath,but,but
671,It is a wreath made out of yarn but,wreath,wreath,but,but
672,It is a wreath one displays at Christmas but,wreath,wreath,but,but
673,It is perfume which has a floral scent but,perfume,perfume,but,but
674,It is fabric which has a floral pattern on it but,fabric,fabric,but,but
675,There are pills for curing flu but,pills,pills,but,but
676,There are pills for consumption by an infant but,pills,pills,but,but
677,There are pills that are medicinal but,pills,pills,but,but
678,It is therapy aimed at curing flu but,therapy,therapy,but,but
679,It is an outbreak of flu in the population but,outbreak,outbreak,but,but
680,It is food that is fruit but,food,food,but,but
681,It is food which is hot but,food,food,but,but
682,It is food that is found in a package but,food,food,but,but
683,It is a slice of fruit but,slice,slice,but,but
684,It is seed found inside fruit but,seed,seed,but,but
685,It is a lamp that uses gas as fuel but,lamp,lamp,but,but
686,It is a lamp that is powered by a battery but,lamp,lamp,but,but
687,It is a lamp found in a cabin but,lamp,lamp,but,but
688,It is a car that is powered by gas but,car,car,but,but
689,It is a hose that gas comes out of but,hose,hose,but,but
690,It is a law about grain but,law,law,but,but
691,It is a law governing the conduct of traffic but,law,law,but,but
692,It is a law made by and enforced in a state but,law,law,but,but
693,It is a controversy about the supply or trade of grain but,controversy,controversy,but,but
694,It is a dish for holding grain but,dish,dish,but,but
695,It is a hole in a gutter but,hole,hole,but,but
696,It is a hole in a prairie but,hole,hole,but,but
697,It is a hole that a rodent lives in but,hole,hole,but,but
698,It is a rodent that lives in the gutter but,rodent,rodent,but,but
699,It is drainage into a gutter but,drainage,drainage,but,but
700,It is an iron that uses heat to preform its function but,iron,iron,but,but
701,It is an iron used for making a pancake but,iron,iron,but,but
702,It is a type of iron that can be used or crafted like ceramics are but,iron,iron,but,but
703,It is a pad that gives off heat but,pad,pad,but,but
704,It is a device or machine for regulating the amount of heat but,regulator,regulating,but,but
705,There are people that are members for historical reasons but,members,members,but,but
706,There are members that are foreign but,members,members,but,but
707,There are members of a hospital but,members,members,but,but
708,It is an elder important enough to be the subject of history but,elder,elder,but,but
709,There are archives concerning historical events but,archives,archives,but,but
710,It is a light in a home but,light,light,but,but
711,It is a light used for reading but,light,light,but,but
712,It is a light that is made of glass but,light,light,but,but
713,It is paint used in the home but,paint,paint,but,but
714,It is a dispute at home but,dispute,dispute,but,but
715,It is soup containing honey but,soup,soup,but,but
716,It is soup that contains pieces of ham but,soup,soup,but,but
717,It is soup brought on holiday but,soup,soup,but,but
718,It is a muffin that contains honey but,muffin,muffin,but,but
719,It is an insect that produces honey but,insect,insect,but,but
720,There are scales for weighing a horse but,scales,scales,but,but
721,There are scales used in chemistry experiments but,scales,scales,but,but
722,There are scales made of metal but,scales,scales,but,but
723,There are stables in which horses are kept but,stables,stables,but,but
724,It is an auction where a horse is sold but,auction,auction,but,but
725,'It is language that one uses in one''s job.' but,language,language,but,but
726,It is the language spoken in California but,language,language,but,but
727,It is language which is verbal but,language,language,but,but
728,It is the completion of a job but,completion,completion,but,but
729,'It is anxiety caused by one''s job.' but,anxiety,anxiety,but,but
730,It is underwear that is worn by a juvenile but,underwear,underwear,but,but
731,It is underwear that is only worn in the evening but,underwear,underwear,but,but
732,It is underwear made of flannel but,underwear,underwear,but,but
733,It is a swing that is used by a juvenile but,swing,swing,but,but
734,It is behavior reminiscent of juvenile behavior but,behavior,behavior,but,but
735,It is a plant that produces lemons but,plant,plant,but,but
736,It is a plant that uses pollen to achieve fertilization but,plant,plant,but,but
737,It is a plant that is grown on a farm but,plant,plant,but,but
738,It is a tree on which lemons grow but,tree,tree,but,but
739,It is a biscuit that is lemon flavoured but,biscuit,biscuit,but,but
740,It is an antique which was once the property of a Marine but,antique,antique,but,but
741,It is an antique found in a library but,antique,antique,but,but
742,It is an antique which is an old sewing machine but,antique,antique,but,but
743,It is a gun used by Marines but,gun,gun,but,but
744,It is an attack carried out by Marines but,attack,attack,but,but
745,There are the instincts to get married but,instincts,instincts,but,but
746,There are instincts useful in an academic environment but,instincts,instincts,but,but
747,There are instincts which have evolved but,instincts,instincts,but,but
748,It is preparation for marriage but,preparation,preparation,but,but
749,It is happiness caused by marriage but,happiness,happiness,but,but
750,It is a virus transmitted in milk but,virus,virus,but,but
751,'It is a virus which causes a pain in one''s throat.' but,virus,virus,but,but
752,It is a virus which is dormant but,virus,virus,but,but
753,It is a bacterium found in milk but,bacterium,bacterium,but,but
754,It is pudding that contains milk but,pudding,pudding,but,but
755,There are signals which happen in the morning but,signals,signals,but,but
756,There are signals that indicate that someone or something is pregnant but,signals,signals,but,but
757,There are signals made by an animal but,signals,signals,but,but
758,It is medication that is to be taken in the morning but,medication,medication,but,but
759,It is meditation that one does in the morning but,meditation,meditation,but,but
760,It is the shape of a moth but,shape,shape,but,but
761,It is the shape of a mould but,shape,shape,but,but
762,It is a shape that is oval but,shape,shape,but,but
763,It is the wing of a moth but,wing,wing,but,but
764,It is insecticide for killing moths but,insecticide,insecticide,but,but
765,It is a breeze on a mountain but,breeze,breeze,but,but
766,It is a breeze in a kitchen but,breeze,breeze,but,but
767,It is a strong breeze during a storm but,breeze,breeze,but,but
768,It is a cabin located on a mountain but,cabin,cabin,but,but
769,It is a magazine about mountains but,magazine,magazine,but,but
770,It is a forest owned by the municipality but,forest,forest,but,but
771,It is a forest that is owned by royalty but,forest,forest,but,but
772,It is a forest in an alpine region but,forest,forest,but,but
773,It is a pool that is owned by the municipality but,pool,pool,but,but
774,It is a campaign by the municipality but,campaign,campaign,but,but
775,It is a film which portrays a murder taking place but,film,film,but,but
776,It is a film about poverty but,film,film,but,but
777,It is a film made in a foreign place but,film,film,but,but
778,It is an investigation into the details of a murder but,investigation,investigation,but,but
779,It is an attempt made to murder someone but,attempt,attempt,but,but
780,There are the resources of a nation but,resources,resources,but,but
781,There are resources available to a company but,resources,resources,but,but
782,There are resources that are gold but,resources,resources,but,but
783,It is the police of a nation but,police,police,but,but
784,It is a mistake made by a nation but,mistake,mistake,but,but
785,It is a sound that a nose makes but,sound,sound,but,but
786,It is the sound made by a drum but,sound,sound,but,but
787,It is a sound that is unidentified but,sound,sound,but,but
788,'It is an itch on one''s nose.' but,itch,itch,but,but
789,It is a movement of a nose but,movement,movement,but,but
790,It is a charge for using an office but,charge,charge,but,but
791,It is a charge for the services of a doctor but,charge,charge,but,but
792,'It is a charge that is an artist''s royalty.' but,charge,charge,but,but
793,It is a statement given in an office but,statement,statement,but,but
794,It is a notepad intended for use in an office but,notepad,notepad,but,but
795,It is a skin treatment that uses oil but,treatment,treatment,but,but
796,It is a treatment which consists of surgery.  but,treatment,treatment,but,but
797,It is treatment aimed at preventing or ending a disease but,treatment,treatment,but,but
798,It is moisturizer which contains oil but,moisturizer,moisturizer,but,but
799,It is an accident in which oil is leaked but,accident,accident,but,but
800,It is the season when olives are harvested but,season,season,but,but
801,It is a season in which something gestates but,season,season,but,but
802,It is a season in which the weather is very humid but,season,season,but,but
803,It is fertilizer that helps olives to grow but,fertilizer,fertilizer,but,but
804,It is paste made out of olives but,paste,paste,but,but
805,It is equipment used for organising and augmenting paper but,equipment,equipment,but,but
806,It is equipment used in the construction of something but,equipment,equipment,but,but
807,It is equipment that is made of steel but,equipment,equipment,but,but
808,There are staples used for binding papers together but,staples,staples,but,but
809,It is a sculpture made out of paper but,sculpture,sculpture,but,but
810,It is an event which is both a party and a dance but,dance,dance,but,but
811,It is a dance that takes place in a hall but,dance,dance,but,but
812,It is a dance which is attended by peasants but,dance,dance,but,but
813,It is a toast at a party but,toast,toast,but,but
814,It is an invitation to a party but,invitation,invitation,but,but
815,It is oil that comes from a pine tree but,oil,oil,but,but
816,It is oil that is put on a pig but,oil,oil,but,but
817,It is oil used to aid tanning but,oil,oil,but,but
818,It is the bark of a pine tree but,bark,bark,but,but
819,It is furniture that is made mostly of pine but,furniture,furniture,but,but
820,It is a report about the plastic industry but,report,report,but,but
821,It is a report about a war but,report,report,but,but
822,It is a report made by a company but,report,report,but,but
823,It is a shortage of plastic but,shortage,shortage,but,but
824,It is a shortage of plastic but,shortage,shortage,but,but
825,It is a comedy about servants but,comedy,comedy,but,but
826,It is a comedy about economic conditions but,comedy,comedy,but,but
827,It is a comedy performed by amateurs but,comedy,comedy,but,but
828,It is a scandal caused by the behavior of a servant but,scandal,scandal,but,but
829,It is a carriage in which a servant travels but,carriage,carriage,but,but
830,It is a magazine about songs but,magazine,magazine,but,but
831,It is a magazine about sewing but,magazine,magazine,but,but
832,It is a magazine that is in a locker but,magazine,magazine,but,but
833,It is a review about a song but,review,review,but,but
834,It is a recital where songs are performed but,recital,recital,but,but
835,It is a pain caused by participating in sports but,pain,pain,but,but
836,It is a pain caused by being pricked by a needle but,pain,pain,but,but
837,It is a pain in an ankle but,pain,pain,but,but
838,It is excite ment caused by a sports event but,excite ment,excite ment,but,but
839,It is a program for a sports event but,program,program,but,but
840,It is a lock which presents steam from escaping but,lock,lock,but,but
841,It is a lock that works by means of a coil mechanism but,lock,lock,but,but
842,It is a lock used in industry but,lock,lock,but,but
843,It is a turbine that uses steam for power but,turbine,turbine,but,but
844,It is a device that is a maker of steam but,maker,maker,but,but
845,It is a vote cast by a student but,vote,vote,but,but
846,It is a vote made by an employee but,vote,vote,but,but
847,It is a vote that if successful will reform something but,vote,vote,but,but
848,It is an accusation made by a student but,accusation,accusation,but,but
849,It is a car owned by a student but,car,car,but,but
850,It is alcohol that is made from sugar by yeast but,alcohol,alcohol,but,but
851,It is alcohol that is produced by fermenting barley but,alcohol,alcohol,but,but
852,It is alcohol used for cooking but,alcohol,alcohol,but,but
853,It is extract which is sugar but,extract,extract,but,but
854,It is a place where sugar is stored but,storage,stored,but,but
855,It is money that is gotten in summer but,money,money,but,but
856,It is money that is to be spent on the use of phones but,money,money,but,but
857,It is money one spends in a casino but,money,money,but,but
858,There are clothes worn during the summer but,clothes,clothes,but,but
859,It is employment during the summer but,employment,employment,but,but
860,It is pressure caused by a high level of tax but,pressure,pressure,but,but
861,It is pressure exerted by the weight of something but,pressure,pressure,but,but
862,It is pressure caused by society but,pressure,pressure,but,but
863,It is wealth achieved by a high rate of tax but,wealth,wealth,but,but
864,'It is a form for the arrangement of one''s tax payments.' but,form,form,but,but
865,It is a wheel that uses thermal energy but,wheel,wheel,but,but
866,It is a wheel powered by hydrogen energy but,wheel,wheel,but,but
867,It is a wheel that is on a tractor but,wheel,wheel,but,but
868,It is torture consisting of exposure to extreme heat but,torture,torture,but,but
869,'There are socks which help to keep one''s feet warm.' but,socks,socks,but,but
870,There are riots in an urban area but,riots,riots,but,but
871,It is a dance that is popular in Europe but,dance,dance,but,but
872,There are riots against the possibility of war but,riots,riots,but,but
873,It is a tower in an urban area but,tower,tower,but,but
874,It is a complaint about an urban service but,complaint,complaint,but,but
875,There are drops of vapor but,drops,drops,but,but
876,There are drops of water that rain consists of but,drops,drops,but,but
877,There are drops which have fallen but,drops,drops,but,but
878,It is a cloud made of vapor but,cloud,cloud,but,but
879,It is a device which makes vapor more humid but,humidifier,humid,but,but
880,It is the peel of a vegetable but,peel,peel,but,but
881,It is the peel of a watermelon but,peel,peel,but,but
882,It is a peel that is bitter but,peel,peel,but,but
883,It is steam emitted by cooked vegetable but,steam,steam,but,but
884,It is an appetizer consisting of a selection of vegetables but,appetizer,appetizer,but,but
885,It is a bird that lives near water but,bird,bird,but,but
886,It is a bird that lives in a desert but,bird,bird,but,but
887,It is a bird that is domestic but,bird,bird,but,but
888,It is algae that lives in water but,algae,algae,but,but
889,It is a jar containing or intended to contain water but,jar,jar,but,but
890,It is a book about winter but,book,book,but,but
891,It is a book about romance but,book,book,but,but
892,It is a book with a hard cover but,book,book,but,but
893,It is a show presented during the winter but,show,show,but,but
894,It is a carnival that takes place in winter but,carnival,carnival,but,but
895,It is a stove that uses wood as fuel but,stove,stove,but,but
896,It is a stove that uses propane but,stove,stove,but,but
897,It is a stove used for making bread but,stove,stove,but,but
898,It is a freshener for wood but,freshener,freshener,but,but
899,It is a chisel used when crafting things made of wood but,chisel,chisel,but,but
