,sentence,mod_word,mod_word_match,head_noun,head_noun_match
532,It is a magazine kept in a locker.,locker,locker,magazine,magazine
533,It is a review describing a song.,song,song,review,review
534,It is a recital at which songs are performed.,song,songs,recital,recital
535,It is a pain that is caused by injury during sports.,sports,sports,pain,pain
536,It is pain caused by getting stuck with a needle.,needle,needle,pain,pain
537,It is a pain in the ankle.,ankle,ankle,pain,pain
538,It is excitement about sports.,sports,sports,excitement,excitement
539,It is a program about sports.,sports,sports,program,program
540,It is a lock that works by steam.,steam,steam,lock,lock
541,It is a lock that is in the shape of a coil.,coil,coil,lock,lock
542,It is a lock that is very strong.,industrial,strong,lock,lock
543,It is a turbine which is turned by steam.,steam,steam,turbine,turbine
544,It is a machine that makes steam.,steam,steam,maker,makes
545,It is the vote of a group of students.,student,students,vote,vote
546,It is the vote of employees in a company decision.,employee,employees,vote,vote
547,It is a vote to reform something.,reform,reform,vote,vote
548,It is an accusation said by a student.,student,student,accusation,accusation
549,It is a car that a student owns.,student,student,car,car
550,It is alcohol that is distilled from sugar.,sugar,sugar,alcohol,alcohol
551,It is alcohol that is brewed from barley.,barley,barley,alcohol,alcohol
552,It is alcohol used as an ingredient in cooking.,cooking,cooking,alcohol,alcohol
553,It is a sugary substance that is extracted from a plant.,sugar,sugary,extract,extracted
554,It is the storage of sugar.,sugar,sugar,storage,storage
555,It is money that is spent during summer.,summer,summer,money,money
556,It is money used when phoning.,phone,phoning,money,money
557,It is money that can be used only in a casino.,casino,casino,money,money
558,There are clothes worn during summer.,summer,summer,clothes,clothes
559,It is employment over the summer period.,summer,summer,employment,employment
560,It is the pressure caused by paying tax.,tax,tax,pressure,pressure
561,It is pressure to maintain a certain weight.,weight,weight,pressure,pressure
562,It is pressure from society to behave a certain way.,social,society,pressure,pressure
563,It is wealth that comes from tax.,tax,tax,wealth,wealth
564,It is a form that must be filled in for tax.,tax,tax,form,form
565,It is a wheel that turns by thermal power.,thermal,thermal,wheel,wheel
566,It is a wheel that turns because of hydrogen flow.,hydrogen,hydrogen,wheel,wheel
567,It is the wheel of a tractor.,tractor,tractor,wheel,wheel
568,It is torture by heat.,thermal,heat,torture,torture
569,There are socks that keep you warm.,thermal,warm,socks,socks
570,There are riots carried out by city people.,urban,city,riots,riots
571,It is a dance that is typical in Europe.,Europe,Europe,dance,dance
572,There are riots in protest against a war.,war,war,riots,riots
573,It is a tower in a city.,urban,city,tower,tower
574,It is a complaint about living in cities.,urban,cities,complaint,complaint
575,There are drops that when swallowed produce a vapor.,vapor,vapor,drops,drops
576,There are drops of rain.,rain,rain,drops,drops
577,There are drops that have fallen.,fallen,fallen,drops,drops
578,It is a cloud of vapor.,vapor,vapor,cloud,cloud
579,It is a humidifier that produces a vapor.,vapor,vapor,humidifier,humidifier
580,It is the peel of a vegetable.,vegetable,vegetable,peel,peel
581,It is the peel of a watermelon.,watermelon,watermelon,peel,peel
582,It is peel which has a bitter taste.,bitter,bitter,peel,peel
583,It is steam produced when cooking vegetables.,vegetable,vegetables,steam,steam
584,It is an appetizer that is prepared from vegetables.,vegetable,vegetables,appetizer,appetizer
585,It is a bird that lives around water.,water,water,bird,bird
586,It is a bird that lives in the desert.,desert,desert,bird,bird
587,It is a bird that is kept in the house.,domestic,house,bird,bird
588,It is algae that grow in water.,water,water,algae,algae
589,It is a jar is which water is stored.,water,water,jar,jar
590,It is a book about things that happen in winter.,winter,winter,book,book
591,It is a book about romance.,romance,romance,book,book
592,It is a book that is hard to understand.,hard,hard,book,book
593,It is a show that takes place in winter.,winter,winter,show,show
594,It is a carnival that is held in winter.,winter,winter,carnival,carnival
595,It is a stove which burns wood.,wood,wood,stove,stove
596,It is a stove that uses propane as fuel.,propane,propane,stove,stove
597,It is a stove on which bread is cooked.,bread,bread,stove,stove
598,It is something used to make wood seem fresh.,wood,wood,freshener,fresh
599,It is a chisel used for working on wood.,wood,wood,chisel,chisel
600,There are months when one goes on an adventure.,adventure,adventure,months,months
601,There are months one spends in retirement.,retirement,retirement,months,months
602,There are months one spends in jail.,jail,jail,months,months
603,There are bookings taken during the arrangement of an adventure.,adventure,adventure,bookings,bookings
604,It is a commercial about an adventure.,adventure,adventure,commercial,commercial
605,It is military power in the air.,air,air,power,power
606,It is power that comes from solar energy.,solar,solar,power,power
607,It is power produced by manual labor.,manual,manual,power,power
608,It is a current in air.,air,air,current,current
609,It is a blast of air.,air,air,blast,blast
610,It is a rash on a baby at birth.,birth,birth,rash,rash
611,It is a rash caused by an allergy.,allergy,allergy,rash,rash
612,It is a rash on an arm.,arm,arm,rash,rash
613,It is a cramp caused by giving birth.,birth,birth,cramp,cramp
614,It is an event at which someone or something gives birth.,birth,birth,event,event
615,It is a brake that works by means of a cable.,cable,cable,brake,brake
616,It isa brake that is powered by electricity.,electric,electricity,brake,brake
617,It is a brake that is on a bicycle.,bicycle,bicycle,brake,brake
618,It is a pulley that functions by means of a cable.,cable,cable,pulley,pulley
619,It is a bobbin on which cable is wound.,cable,cable,bobbin,bobbin
620,It is a bee that lives in a cactus.,cactus,cactus,bee,bee
621,It is a bee that comes to a picnic.,picnic,picnic,bee,bee
622,It is a bee that likes to eat syrup.,syrup,syrup,bee,bee
623,It is a chipmunk that feeds on a cactus.,cactus,cactus,chipmunk,chipmunk
624,It is the root of a cactus.,cactus,cactus,root,root
625,It is sugar that comes from cane.,cane,cane,sugar,sugar
626,It is the sugar that is in a peach.,peach,peach,sugar,sugar
627,It is sugar one uses at breakfast.,breakfast,breakfast,sugar,sugar
628,It is the juice of canes.,cane,canes,juice,juice
629,It is a plantation of cane plants.,cane,cane,plantation,plantation
630,There are shavings which are made of chocolate.,chocolate,chocolate,shavings,shavings
631,There are shavings consisting of grass.,grass,grass,shavings,shavings
632,There are shavings that have been dried.,dried,dried,shavings,shavings
633,It is power one gets from consuming chocolate.,chocolate,chocolate,power,power
634,It is a recipe for making chocolate.,chocolate,chocolate,recipe,recipe
635,It is a town in which the primary industry is coal mining.,coal,coal,town,town
636,It is a town in which a festival takes place.,festival,festival,town,town
637,It is a town located in a valley.,valley,valley,town,town
638,It is a country that produces coal.,coal,coal,country,country
639,It is a machine used in the mining of coal.,coal,coal,machine,machine
640,It is tension caused by consuming coffee.,coffee,coffee,tension,tension
641,It is tension caused by the thought of an examination.,examination,examination,tension,tension
642,It is tension in a muscle.,muscle,muscle,tension,tension
643,It is a stain caused by the spilling of coffee.,coffee,coffee,stain,stain
644,It is a container in which coffee is stored.,coffee,coffee,container,container
645,There are lakes found on college property.,college,college,lakes,lakes
646,There are lakes frequented by farmers.,farmer,farmers,lakes,lakes
647,There are lakes containing minnow.,minnow,minnow,lakes,lakes
648,It is property owned by a college.,college,college,property,property
649,It is a publication that is produced in a college.,college,college,publication,publication
650,It is a sauce which contains a lot of cream.,cream,cream,sauce,sauce
651,It is a sauce made out of pumpkins.,pumpkin,pumpkins,sauce,sauce
652,It is a sauce used on potatoes.,potato,potatoes,sauce,sauce
653,It is bread that was made with cream.,cream,cream,bread,bread
654,It is a churn for producing cream.,cream,cream,churn,churn
655,It is a cow owned by a family.,family,family,cow,cow
656,It is a cow that lives at a school.,school,school,cow,cow
657,It is a cow that produces milk.,dairy,milk,cow,cow
658,It is a garden owned by a family.,family,family,garden,garden
659,It is a church frequented by members of a family.,family,family,church,church
660,It is a headache caused by financial problems.,financial,financial,headache,headache
661,It is a headache caused by drinking alcohol.,alcohol,alcohol,headache,headache
662,It is a headache which is fatal.,fatal,fatal,headache,headache
663,'It is a problem with the state of one''s finances.',financial,finances,problem,problem
664,It is a remedy which improves ones finances.,financial,finances,remedy,remedy
665,It is a gland that a fish has.,fish,fish,gland,gland
666,It is a gland that is part of a reptile.,reptile,reptile,gland,gland
667,It is a gland that is underdeveloped.,underdeveloped,underdeveloped,gland,gland
668,It is the fin of a fish.,fish,fish,fin,fin
669,It is a stew which contains fish.,fish,fish,stew,stew
670,It is a wreath that is made of flowers.,floral,flowers,wreath,wreath
671,It is a wreath made out of yarn.,yarn,yarn,wreath,wreath
672,It is a wreath one displays at Christmas.,Christmas,Christmas,wreath,wreath
673,It is perfume which has a floral scent.,floral,floral,perfume,perfume
674,It is fabric which has a floral pattern on it.,floral,floral,fabric,fabric
675,There are pills for curing flu.,flu,flu,pills,pills
676,There are pills for consumption by an infant.,infant,infant,pills,pills
677,There are pills that are medicinal.,medicinal,medicinal,pills,pills
678,It is therapy aimed at curing flu.,flu,flu,therapy,therapy
679,It is an outbreak of flu in the population.,flu,flu,outbreak,outbreak
680,It is food that is fruit.,fruit,fruit,food,food
681,It is food which is hot.,hot,hot,food,food
682,It is food that is found in a package.,package,package,food,food
683,It is a slice of fruit.,fruit,fruit,slice,slice
684,It is seed found inside fruit.,fruit,fruit,seed,seed
685,It is a lamp that uses gas as fuel.,gas,gas,lamp,lamp
686,It is a lamp that is powered by a battery.,battery,battery,lamp,lamp
687,It is a lamp found in a cabin.,cabin,cabin,lamp,lamp
688,It is a car that is powered by gas.,gas,gas,car,car
689,It is a hose that gas comes out of.,gas,gas,hose,hose
690,It is a law about grain.,grain,grain,law,law
691,It is a law governing the conduct of traffic.,traffic,traffic,law,law
692,It is a law made by and enforced in a state.,state,state,law,law
693,It is a controversy about the supply or trade of grain.,grain,grain,controversy,controversy
694,It is a dish for holding grain.,grain,grain,dish,dish
695,It is a hole in a gutter.,gutter,gutter,hole,hole
696,It is a hole in a prairie.,prairie,prairie,hole,hole
697,It is a hole that a rodent lives in.,rodent,rodent,hole,hole
698,It is a rodent that lives in the gutter.,gutter,gutter,rodent,rodent
699,It is drainage into a gutter.,gutter,gutter,drainage,drainage
700,It is an iron that uses heat to preform its function.,heat,heat,iron,iron
701,It is an iron used for making a pancake.,pancake,pancake,iron,iron
702,It is a type of iron that can be used or crafted like ceramics are.,ceramic,ceramics,iron,iron
703,It is a pad that gives off heat.,heat,heat,pad,pad
704,It is a device or machine for regulating the amount of heat.,heat,heat,regulator,regulating
705,There are people that are members for historical reasons.,historical,historical,members,members
706,There are members that are foreign.,foreign,foreign,members,members
707,There are members of a hospital.,hospital,hospital,members,members
708,It is an elder important enough to be the subject of history.,historical,history,elder,elder
709,There are archives concerning historical events.,historical,historical,archives,archives
710,It is a light in a home.,home,home,light,light
711,It is a light used for reading.,reading,reading,light,light
712,It is a light that is made of glass.,glass,glass,light,light
713,It is paint used in the home.,home,home,paint,paint
714,It is a dispute at home.,home,home,dispute,dispute
715,It is soup containing honey.,honey,honey,soup,soup
716,It is soup that contains pieces of ham.,ham,ham,soup,soup
717,It is soup brought on holiday.,holiday,holiday,soup,soup
718,It is a muffin that contains honey.,honey,honey,muffin,muffin
719,It is an insect that produces honey.,honey,honey,insect,insect
720,There are scales for weighing a horse.,horse,horse,scales,scales
721,There are scales used in chemistry experiments.,chemistry,chemistry,scales,scales
722,There are scales made of metal.,metal,metal,scales,scales
723,There are stables in which horses are kept.,horse,horses,stables,stables
724,It is an auction where a horse is sold.,horse,horse,auction,auction
725,'It is language that one uses in one''s job.',job,job,language,language
726,It is the language spoken in California.,California,California,language,language
727,It is language which is verbal.,verbal,verbal,language,language
728,It is the completion of a job.,job,job,completion,completion
729,'It is anxiety caused by one''s job.',job,job,anxiety,anxiety
730,It is underwear that is worn by a juvenile.,juvenile,juvenile,underwear,underwear
731,It is underwear that is only worn in the evening.,evening,evening,underwear,underwear
732,It is underwear made of flannel.,flannel,flannel,underwear,underwear
733,It is a swing that is used by a juvenile.,juvenile,juvenile,swing,swing
734,It is behavior reminiscent of juvenile behavior.,juvenile,juvenile,behavior,behavior
735,It is a plant that produces lemons.,lemon,lemons,plant,plant
736,It is a plant that uses pollen to achieve fertilization.,pollen,pollen,plant,plant
737,It is a plant that is grown on a farm.,farm,farm,plant,plant
738,It is a tree on which lemons grow.,lemon,lemons,tree,tree
739,It is a biscuit that is lemon flavoured.,lemon,lemon,biscuit,biscuit
740,It is an antique which was once the property of a Marine.,Marine,Marine,antique,antique
741,It is an antique found in a library.,library,library,antique,antique
742,It is an antique which is an old sewing machine.,sewing,sewing,antique,antique
743,It is a gun used by Marines.,Marine,Marines,gun,gun
744,It is an attack carried out by Marines.,Marine,Marines,attack,attack
745,There are the instincts to get married.,marital,married,instincts,instincts
746,There are instincts useful in an academic environment.,academic,academic,instincts,instincts
747,There are instincts which have evolved.,evolved,evolved,instincts,instincts
748,It is preparation for marriage.,marital,marriage,preparation,preparation
749,It is happiness caused by marriage.,marital,marriage,happiness,happiness
750,It is a virus transmitted in milk.,milk,milk,virus,virus
751,'It is a virus which causes a pain in one''s throat.',throat,throat,virus,virus
752,It is a virus which is dormant.,dormant,dormant,virus,virus
753,It is a bacterium found in milk.,milk,milk,bacterium,bacterium
754,It is pudding that contains milk.,milk,milk,pudding,pudding
755,There are signals which happen in the morning.,morning,morning,signals,signals
756,There are signals that indicate that someone or something is pregnant.,pregnancy,pregnant,signals,signals
757,There are signals made by an animal.,animal,animal,signals,signals
758,It is medication that is to be taken in the morning.,morning,morning,medication,medication
759,It is meditation that one does in the morning.,morning,morning,meditation,meditation
760,It is the shape of a moth.,moth,moth,shape,shape
761,It is the shape of a mould.,mould,mould,shape,shape
762,It is a shape that is oval.,oval,oval,shape,shape
763,It is the wing of a moth.,moth,moth,wing,wing
764,It is insecticide for killing moths.,moth,moths,insecticide,insecticide
765,It is a breeze on a mountain.,mountain,mountain,breeze,breeze
766,It is a breeze in a kitchen.,kitchen,kitchen,breeze,breeze
767,It is a strong breeze during a storm.,storm,storm,breeze,breeze
768,It is a cabin located on a mountain.,mountain,mountain,cabin,cabin
769,It is a magazine about mountains.,mountain,mountains,magazine,magazine
770,It is a forest owned by the municipality.,municipal,municipality,forest,forest
771,It is a forest that is owned by royalty.,royalty,royalty,forest,forest
772,It is a forest in an alpine region.,alpine,alpine,forest,forest
773,It is a pool that is owned by the municipality.,municipal,municipality,pool,pool
774,It is a campaign by the municipality.,municipal,municipality,campaign,campaign
775,It is a film which portrays a murder taking place.,murder,murder,film,film
776,It is a film about poverty.,poverty,poverty,film,film
777,It is a film made in a foreign place.,foreign,foreign,film,film
778,It is an investigation into the details of a murder.,murder,murder,investigation,investigation
779,It is an attempt made to murder someone.,murder,murder,attempt,attempt
780,There are the resources of a nation.,national,nation,resources,resources
781,There are resources available to a company.,company,company,resources,resources
782,There are resources that are gold.,gold,gold,resources,resources
783,It is the police of a nation.,national,nation,police,police
784,It is a mistake made by a nation.,national,nation,mistake,mistake
785,It is a sound that a nose makes.,nose,nose,sound,sound
786,It is the sound made by a drum.,drum,drum,sound,sound
787,It is a sound that is unidentified.,unidentified,unidentified,sound,sound
788,'It is an itch on one''s nose.',nose,nose,itch,itch
789,It is a movement of a nose.,nose,nose,movement,movement
790,It is a charge for using an office.,office,office,charge,charge
791,It is a charge for the services of a doctor.,doctor,doctor,charge,charge
792,'It is a charge that is an artist''s royalty.',royalty,royalty,charge,charge
793,It is a statement given in an office.,office,office,statement,statement
794,It is a notepad intended for use in an office.,office,office,notepad,notepad
795,It is a skin treatment that uses oil.,oil,oil,treatment,treatment
796,It is a treatment which consists of surgery. ,surgery,surgery,treatment,treatment
797,It is treatment aimed at preventing or ending a disease.,disease,disease,treatment,treatment
798,It is moisturizer which contains oil.,oil,oil,moisturizer,moisturizer
799,It is an accident in which oil is leaked.,oil,oil,accident,accident
800,It is the season when olives are harvested.,olive,olives,season,season
801,It is a season in which something gestates.,gestation,gestates,season,season
802,It is a season in which the weather is very humid.,humidity,humid,season,season
803,It is fertilizer that helps olives to grow.,olive,olives,fertilizer,fertilizer
804,It is paste made out of olives.,olive,olives,paste,paste
805,It is equipment used for organising and augmenting paper.,paper,paper,equipment,equipment
806,It is equipment used in the construction of something.,construction,construction,equipment,equipment
807,It is equipment that is made of steel.,steel,steel,equipment,equipment
808,There are staples used for binding papers together.,paper,papers,staples,staples
809,It is a sculpture made out of paper.,paper,paper,sculpture,sculpture
810,It is an event which is both a party and a dance.,party,party,dance,dance
811,It is a dance that takes place in a hall.,hall,hall,dance,dance
812,It is a dance which is attended by peasants.,peasant,peasants,dance,dance
813,It is a toast at a party.,party,party,toast,toast
814,It is an invitation to a party.,party,party,invitation,invitation
815,It is oil that comes from a pine tree.,pine,pine,oil,oil
816,It is oil that is put on a pig.,pig,pig,oil,oil
817,It is oil used to aid tanning.,tanning,tanning,oil,oil
818,It is the bark of a pine tree.,pine,pine,bark,bark
819,It is furniture that is made mostly of pine.,pine,pine,furniture,furniture
820,It is a report about the plastic industry.,plastic,plastic,report,report
821,It is a report about a war.,war,war,report,report
822,It is a report made by a company.,company,company,report,report
823,It is a shortage of plastic.,plastic,plastic,shortage,shortage
824,It is a shortage of plastic.,plastic,plastic,shortage,shortage
825,It is a comedy about servants.,servant,servants,comedy,comedy
826,It is a comedy about economic conditions.,economic,economic,comedy,comedy
827,It is a comedy performed by amateurs.,amateur,amateurs,comedy,comedy
828,It is a scandal caused by the behavior of a servant.,servant,servant,scandal,scandal
829,It is a carriage in which a servant travels.,servant,servant,carriage,carriage
830,It is a magazine about songs.,song,songs,magazine,magazine
831,It is a magazine about sewing.,sewing,sewing,magazine,magazine
832,It is a magazine that is in a locker.,locker,locker,magazine,magazine
833,It is a review about a song.,song,song,review,review
834,It is a recital where songs are performed.,song,songs,recital,recital
835,It is a pain caused by participating in sports.,sports,sports,pain,pain
836,It is a pain caused by being pricked by a needle.,needle,needle,pain,pain
837,It is a pain in an ankle.,ankle,ankle,pain,pain
838,It is excitement caused by a sports event.,sports,sports,excitement,excitement
839,It is a program for a sports event.,sports,sports,program,program
840,It is a lock which presents steam from escaping.,steam,steam,lock,lock
841,It is a lock that works by means of a coil mechanism.,coil,coil,lock,lock
842,It is a lock used in industry.,industrial,industry,lock,lock
843,It is a turbine that uses steam for power.,steam,steam,turbine,turbine
844,It is a device that is a maker of steam.,steam,steam,maker,maker
845,It is a vote cast by a student.,student,student,vote,vote
846,It is a vote made by an employee.,employee,employee,vote,vote
847,It is a vote that if successful will reform something.,reform,reform,vote,vote
848,It is an accusation made by a student.,student,student,accusation,accusation
849,It is a car owned by a student.,student,student,car,car
850,It is alcohol that is made from sugar by yeast.,sugar,sugar,alcohol,alcohol
851,It is alcohol that is produced by fermenting barley.,barley,barley,alcohol,alcohol
852,It is alcohol used for cooking.,cooking,cooking,alcohol,alcohol
853,It is extract which is sugar.,sugar,sugar,extract,extract
854,It is a place where sugar is stored.,sugar,sugar,storage,stored
855,It is money that is gotten in summer.,summer,summer,money,money
856,It is money that is to be spent on the use of phones.,phone,phones,money,money
857,It is money one spends in a casino.,casino,casino,money,money
858,There are clothes worn during the summer.,summer,summer,clothes,clothes
859,It is employment during the summer.,summer,summer,employment,employment
860,It is pressure caused by a high level of tax.,tax,tax,pressure,pressure
861,It is pressure exerted by the weight of something.,weight,weight,pressure,pressure
862,It is pressure caused by society.,social,society,pressure,pressure
863,It is wealth achieved by a high rate of tax.,tax,tax,wealth,wealth
864,'It is a form for the arrangement of one''s tax payments.',tax,tax,form,form
865,It is a wheel that uses thermal energy.,thermal,thermal,wheel,wheel
866,It is a wheel powered by hydrogen energy.,hydrogen,hydrogen,wheel,wheel
867,It is a wheel that is on a tractor.,tractor,tractor,wheel,wheel
868,It is torture consisting of exposure to extreme heat.,thermal,heat,torture,torture
869,'There are socks which help to keep one''s feet warm.',thermal,warm,socks,socks
870,There are riots in an urban area.,urban,urban,riots,riots
871,It is a dance that is popular in Europe.,Europe,Europe,dance,dance
872,There are riots against the possibility of war.,war,war,riots,riots
873,It is a tower in an urban area.,urban,urban,tower,tower
874,It is a complaint about an urban service.,urban,urban,complaint,complaint
875,There are drops of vapor.,vapor,vapor,drops,drops
876,There are drops of water that rain consists of.,rain,rain,drops,drops
877,There are drops which have fallen.,fallen,fallen,drops,drops
878,It is a cloud made of vapor.,vapor,vapor,cloud,cloud
879,It is a device which makes vapor more humid.,vapor,vapor,humidifier,humid
880,It is the peel of a vegetable.,vegetable,vegetable,peel,peel
881,It is the peel of a watermelon.,watermelon,watermelon,peel,peel
882,It is a peel that is bitter.,bitter,bitter,peel,peel
883,It is steam emitted by cooked vegetable.,vegetable,vegetable,steam,steam
884,It is an appetizer consisting of a selection of vegetables.,vegetable,vegetables,appetizer,appetizer
885,It is a bird that lives near water.,water,water,bird,bird
886,It is a bird that lives in a desert.,desert,desert,bird,bird
887,It is a bird that is domestic.,domestic,domestic,bird,bird
888,It is algae that lives in water.,water,water,algae,algae
889,It is a jar containing or intended to contain water.,water,water,jar,jar
890,It is a book about winter.,winter,winter,book,book
891,It is a book about romance.,romance,romance,book,book
892,It is a book with a hard cover.,hard,hard,book,book
893,It is a show presented during the winter.,winter,winter,show,show
894,It is a carnival that takes place in winter.,winter,winter,carnival,carnival
895,It is a stove that uses wood as fuel.,wood,wood,stove,stove
896,It is a stove that uses propane.,propane,propane,stove,stove
897,It is a stove used for making bread.,bread,bread,stove,stove
898,It is a freshener for wood.,wood,wood,freshener,freshener
899,It is a chisel used when crafting things made of wood.,wood,wood,chisel,chisel
